City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Benghazi,LY,58.26,broken clouds,32.1167,20.0667,Tibesti Hotel
2,Arraial Do Cabo,BR,82.26,few clouds,-22.9661,-42.0278,Pousada Porto Praia
3,Laguna,US,59.5,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
4,Los Llanos De Aridane,ES,65.95,clear sky,28.6585,-17.9182,Valle Aridane
5,Paamiut,GL,37.81,moderate rain,61.994,-49.6678,Pistut
7,Roald,NO,30.0,scattered clouds,62.5833,6.1333,Flem Cabins
8,Rabat,MA,59.16,few clouds,33.9911,-6.8401,Hôtel Mercure Rabat Sheherazade
9,Georgetown,MY,82.89,few clouds,5.4112,100.3354,Cititel Penang
10,East London,ZA,72.09,clear sky,-33.0153,27.9116,Tu Casa
12,Torbay,CA,30.38,broken clouds,47.6666,-52.7314,Gallows Cove
14,Victoria,HK,62.33,clear sky,22.2855,114.1577,Mini Hotel Central
15,Mahebourg,MU,79.25,light rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
16,Jardim,BR,98.1,broken clouds,-21.4803,-56.1381,Estancia Hotel - Jardim MS
17,Bredasdorp,ZA,66.27,broken clouds,-34.5322,20.0403,Bredasdorp Country Manor
18,Hamilton,US,51.66,scattered clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
19,Bambous Virieux,MU,79.21,overcast clouds,-20.3428,57.7575,Casa Tia Villa
20,Cidreira,BR,82.58,few clouds,-30.1811,-50.2056,Hotel Castelo
21,Keti Bandar,PK,71.67,clear sky,24.1447,67.4497,Haji laloo memon house
22,Punta Arenas,CL,59.02,clear sky,-53.15,-70.9167,Hotel Hain
24,Pitkyaranta,RU,33.03,light snow,61.5734,31.4792,Pitkyaranta hotel
25,Mabaruma,GY,86.29,scattered clouds,8.2,-59.7833,Monty Brooms Guest House
26,Saint-Philippe,RE,80.15,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
27,Manadhoo,MV,81.3,scattered clouds,5.7667,73.3833,Bon Abri maldives
28,Jamestown,US,40.59,overcast clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
29,Sassandra,CI,81.73,broken clouds,4.95,-6.0833,la terrasse
32,Gboko,NG,83.66,scattered clouds,7.3179,8.9951,Mavillah Apartment and Suites
33,Mirebalais,HT,90.32,few clouds,18.8333,-72.1053,Le Jardin
34,Constitucion,CL,66.16,clear sky,-35.3333,-72.4167,Hotel Boutique Las Azucenas
35,Iquitos,PE,82.44,broken clouds,-3.7481,-73.2472,Casa Morey Hotel & Restaurant
36,Busselton,AU,71.04,few clouds,-33.65,115.3333,Observatory Guest House
37,Olafsvik,IS,34.38,broken clouds,64.8945,-23.7142,Hotel Olafsvik
39,Romitan,UZ,35.55,overcast clouds,39.9343,64.3814,Hotel Temur
40,Cape Town,ZA,69.28,scattered clouds,-33.9258,18.4232,Southern Sun Waterfront Cape Town
41,Saint-Paul,RE,80.69,light rain,-21.0096,55.2707,Boucan Canot
42,Hermanus,ZA,67.89,broken clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
44,Marcon,FR,42.78,overcast clouds,47.7106,0.511,Chambres d'hotes du Port Gautier
45,Lulea,SE,37.47,clear sky,65.5842,22.1547,Comfort Hotel Arctic
47,Port Alfred,ZA,69.55,clear sky,-33.5906,26.891,The Halyards Hotel
