City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Ostersund,SE,63.1792,14.6357,28.85,69,20,20.71,few clouds
1,Benghazi,LY,32.1167,20.0667,58.26,64,64,6.93,broken clouds
2,Arraial Do Cabo,BR,-22.9661,-42.0278,82.26,74,20,16.11,few clouds
3,Laguna,US,38.421,-121.4238,59.5,85,0,1.01,clear sky
4,Los Llanos De Aridane,ES,28.6585,-17.9182,65.95,49,0,20.71,clear sky
5,Paamiut,GL,61.994,-49.6678,37.81,82,100,49.19,moderate rain
6,Clyde River,CA,70.4692,-68.5914,5.23,85,100,37.98,heavy snow
7,Roald,NO,62.5833,6.1333,30.0,59,40,26.46,scattered clouds
8,Rabat,MA,33.9911,-6.8401,59.16,74,23,4.61,few clouds
9,Georgetown,MY,5.4112,100.3354,82.89,81,20,0.0,few clouds
10,East London,ZA,-33.0153,27.9116,72.09,71,0,10.4,clear sky
11,Oktyabrskoye,RU,43.0645,44.7417,24.94,100,100,4.47,light snow
12,Torbay,CA,47.6666,-52.7314,30.38,68,76,8.01,broken clouds
13,Svetlogorsk,BY,52.6333,29.7333,29.37,94,64,9.57,broken clouds
14,Victoria,HK,22.2855,114.1577,62.33,75,0,4.0,clear sky
15,Mahebourg,MU,-20.4081,57.7,79.25,78,99,4.61,light rain
16,Jardim,BR,-21.4803,-56.1381,98.1,28,58,8.1,broken clouds
17,Bredasdorp,ZA,-34.5322,20.0403,66.27,63,76,7.47,broken clouds
18,Hamilton,US,39.1834,-84.5333,51.66,65,40,1.99,scattered clouds
19,Bambous Virieux,MU,-20.3428,57.7575,79.21,77,100,4.43,overcast clouds
20,Cidreira,BR,-30.1811,-50.2056,82.58,75,15,12.03,few clouds
21,Keti Bandar,PK,24.1447,67.4497,71.67,77,2,14.54,clear sky
22,Punta Arenas,CL,-53.15,-70.9167,59.02,58,0,12.66,clear sky
23,Qaanaaq,GL,77.484,-69.3632,-7.56,69,4,7.67,clear sky
24,Pitkyaranta,RU,61.5734,31.4792,33.03,93,100,15.28,light snow
25,Mabaruma,GY,8.2,-59.7833,86.29,52,35,8.43,scattered clouds
26,Saint-Philippe,RE,-21.3585,55.7679,80.15,87,83,3.76,light rain
27,Manadhoo,MV,5.7667,73.3833,81.3,73,39,10.78,scattered clouds
28,Jamestown,US,42.097,-79.2353,40.59,49,97,10.0,overcast clouds
29,Sassandra,CI,4.95,-6.0833,81.73,72,71,7.76,broken clouds
30,Longyearbyen,SJ,78.2186,15.6401,12.04,52,40,10.36,scattered clouds
31,Pangnirtung,CA,66.1451,-65.7125,-9.72,99,100,5.28,overcast clouds
32,Gboko,NG,7.3179,8.9951,83.66,17,36,8.03,scattered clouds
33,Mirebalais,HT,18.8333,-72.1053,90.32,43,24,3.2,few clouds
34,Constitucion,CL,-35.3333,-72.4167,66.16,53,0,16.42,clear sky
35,Iquitos,PE,-3.7481,-73.2472,82.44,78,75,3.44,broken clouds
36,Busselton,AU,-33.65,115.3333,71.04,54,20,5.77,few clouds
37,Olafsvik,IS,64.8945,-23.7142,34.38,69,81,11.3,broken clouds
38,Namalenga,TZ,-10.95,39.1,70.34,94,100,5.23,light rain
39,Romitan,UZ,39.9343,64.3814,35.55,93,100,2.3,overcast clouds
40,Cape Town,ZA,-33.9258,18.4232,69.28,64,45,3.0,scattered clouds
41,Saint-Paul,RE,-21.0096,55.2707,80.69,86,92,3.74,light rain
42,Hermanus,ZA,-34.4187,19.2345,67.89,69,63,5.7,broken clouds
43,Havre-Saint-Pierre,CA,50.2334,-63.5986,4.84,62,9,13.85,clear sky
44,Marcon,FR,47.7106,0.511,42.78,92,99,6.82,overcast clouds
45,Lulea,SE,65.5842,22.1547,37.47,75,0,13.8,clear sky
46,Upernavik,GL,72.7868,-56.1549,14.13,66,100,8.66,overcast clouds
47,Port Alfred,ZA,-33.5906,26.891,69.55,76,0,10.83,clear sky
48,Vardo,NO,70.3705,31.1107,28.6,80,0,13.8,clear sky
49,Komsomolskiy,UZ,40.4272,71.7189,41.72,60,75,9.22,broken clouds
50,Ribeira Grande,PT,38.5167,-28.7,66.6,72,40,17.27,scattered clouds
51,Ushuaia,AR,-54.8,-68.3,61.61,44,27,3.67,scattered clouds
52,Sistranda,NO,63.7256,8.834,31.89,71,100,35.08,light snow
53,Camacupa,AO,-12.0167,17.4833,62.74,86,100,2.51,overcast clouds
54,Coquimbo,CL,-29.9533,-71.3436,69.01,55,0,9.93,clear sky
55,Verkhnyaya Inta,RU,65.9811,60.3094,13.41,82,93,16.24,overcast clouds
56,Roura,GF,4.7263,-52.3274,82.31,78,75,10.36,light rain
57,Kidal,ML,18.4411,1.4078,66.58,16,0,10.89,clear sky
58,Bara,NG,10.3744,10.7288,70.83,22,36,8.88,scattered clouds
59,Korhogo,CI,9.45,-5.6333,83.03,9,1,5.57,clear sky
60,Lagoa,PT,39.05,-27.9833,61.36,86,20,29.42,few clouds
61,Souillac,MU,-20.5167,57.5167,79.36,83,100,6.31,light rain
62,Saldanha,ZA,-33.0117,17.9442,64.17,75,7,22.06,clear sky
63,Korla,CN,41.7597,86.1469,26.49,46,35,1.03,scattered clouds
64,Geraldton,AU,-28.7667,114.6,78.13,41,0,9.22,clear sky
65,Hofn,IS,64.2539,-15.2082,26.01,65,23,8.12,few clouds
66,Sikonge,TZ,-5.6333,32.7667,64.76,93,97,0.58,overcast clouds
67,Oranjemund,NA,-28.55,16.4333,68.79,74,0,16.69,clear sky
68,Gien,FR,47.6933,2.6309,40.44,95,100,9.31,overcast clouds
69,Newala,TZ,-10.9431,39.2787,66.65,95,100,5.7,overcast clouds
70,Faaborg,DK,55.0951,10.2423,42.8,84,100,26.55,overcast clouds
71,Mar Del Plata,AR,-38.0023,-57.5575,69.87,87,87,13.0,overcast clouds
72,Talara,PE,-4.5772,-81.2719,88.56,55,0,16.87,clear sky
73,Matagami,CA,49.7502,-77.6328,8.01,91,100,3.44,light snow
74,Kalmunai,LK,7.4167,81.8167,75.78,74,90,10.45,overcast clouds
75,Narsaq,GL,60.9167,-46.05,46.62,76,100,15.05,light rain
76,Codrington,AU,-38.2667,141.9667,57.04,79,0,12.3,clear sky
77,Caravelas,BR,-17.7125,-39.2481,84.13,63,52,9.33,broken clouds
78,Iqaluit,CA,63.7506,-68.5145,-23.21,93,59,7.11,broken clouds
79,Touros,BR,-5.1989,-35.4608,88.7,61,29,14.18,scattered clouds
80,Humaita,BR,-7.5061,-63.0208,90.75,55,89,1.72,overcast clouds
81,Goure,NE,13.9835,10.2704,67.01,21,0,10.04,clear sky
82,Kruisfontein,ZA,-34.0033,24.7314,69.89,76,4,9.55,clear sky
83,Shieli,KZ,44.1667,66.75,24.98,92,100,9.91,snow
84,Hithadhoo,MV,-0.6,73.0833,81.48,77,75,8.93,broken clouds
85,Vigrestad,NO,58.5667,5.7,35.58,67,77,41.34,snow
86,Berlevag,NO,70.8578,29.0864,30.2,69,20,25.32,few clouds
87,Mayumba,GA,-3.432,10.6554,78.01,84,34,5.06,scattered clouds
88,Akdepe,TM,42.0551,59.3788,24.8,92,6,11.5,clear sky
89,Tefe,BR,-3.3542,-64.7114,93.31,59,75,6.91,broken clouds
90,Abu Dhabi,AE,24.4667,54.3667,71.71,75,0,6.91,clear sky
91,Port Elizabeth,ZA,-33.918,25.5701,72.1,77,0,11.41,clear sky
92,Harlingen,US,26.1906,-97.6961,81.34,47,75,23.02,broken clouds
93,Doha,QA,25.2867,51.5333,64.38,68,0,10.36,clear sky
94,Grand Gaube,MU,-20.0064,57.6608,79.38,87,88,6.08,overcast clouds
95,Kabalo,CD,-6.05,26.9167,69.67,91,64,2.55,broken clouds
96,Swellendam,ZA,-34.0226,20.4417,73.36,53,28,10.09,scattered clouds
97,Castro,BR,-24.7911,-50.0119,78.48,70,5,4.07,clear sky
98,Arcachon,FR,44.5875,-1.0519,48.25,71,75,5.75,broken clouds
99,Ivybridge,GB,50.3904,-3.9191,46.4,79,58,15.3,broken clouds
100,Solyanka,RU,46.3889,48.0176,31.98,93,100,4.47,light snow
101,Dingle,PH,10.9995,122.6711,72.81,96,31,7.36,scattered clouds
102,Vredendal,ZA,-31.6683,18.5012,73.85,37,0,19.1,clear sky
103,Clarence Town,AU,-32.5833,151.7833,71.85,85,92,8.66,overcast clouds
104,Krutinka,RU,56.0055,71.5113,7.66,95,59,8.81,broken clouds
105,Yangambi,CD,0.8102,24.4336,76.59,69,99,2.1,overcast clouds
106,Inhambane,MZ,-23.865,35.3833,78.78,69,20,6.91,few clouds
107,Ginda,IN,30.6945,78.4932,44.15,87,99,1.28,overcast clouds
108,Rio Grande,BR,-32.035,-52.0986,91.51,64,8,14.52,clear sky
109,Salinas,US,36.6777,-121.6555,61.2,82,100,9.22,mist
110,Sabla,NG,12.7525,4.7077,71.28,16,6,9.22,clear sky
111,Japura,ID,-0.3167,102.35,72.3,98,100,4.7,overcast clouds
112,Carnarvon,AU,-24.8667,113.6333,77.07,88,45,10.36,scattered clouds
113,Kutina,HR,45.475,16.7819,33.78,76,5,4.61,clear sky
